,loc
0,"(1210.200545299848, 2.375829022467883)"
1,"(1378.4562546969855, 0.2625744484497545)"
2,"(1399.4883845044892, 0.0)"
3,"(1399.7442291706961, 21.571231371245062)"
4,"(1042.470849582988, 47.5928528332264)"
5,"(1084.5324510716882, 47.11666794051621)"
6,"(1378.9685347240993, 43.40503719091157)"
7,"(1400.0, 43.14254235873534)"
8,"(1042.7323796862195, 69.22307985830798)"
9,"(1084.7933166432117, 68.68734199790299)"
10,"(1295.1005118813032, 66.02959177409628)"
11,"(1042.993835952548, 90.79367429939293)"
12,"(1085.0541083780422, 90.25801605526146)"
13,"(1358.4499401700127, 86.81031323064394)"
14,"(1379.4806670775122, 86.54749993340181)"
15,"(1043.2552922188763, 112.36434835677971)"
16,"(1148.4044965456521, 111.0279893157848)"
17,"(1358.7062278572184, 108.38154460188889)"
18,"(1085.8361882349209, 154.97011784363872)"
19,"(1317.159490685246, 152.05035048526872)"
20,"(1380.2484964234307, 151.26135327965574)"
21,"(1065.0680251464564, 176.80830255801118)"
22,"(1380.5044149264359, 172.83258465090069)"
23,"(1191.5002568784244, 196.77956542834022)"
24,"(1338.702128435659, 194.9293630003849)"
25,"(1359.7311570957518, 194.66647008686914)"
26,"(1380.7601857557397, 194.40389563841939)"
27,"(1023.5337664011349, 220.45569166558755)"
28,"(1044.5617613454242, 220.21740017856268)"
29,"(1065.560590736085, 219.91987418890892)"
30,"(1128.6742579802735, 219.14855179458175)"
31,"(1149.7024744350622, 218.88215576528444)"
32,"(1212.787492983734, 218.08519693302333)"
33,"(981.7400449843987, 242.59331316000942)"
34,"(1318.186708865886, 238.33495750518307)"
35,"(1192.2766512982787, 261.4923837631511)"
36,"(1297.7017839129476, 281.7110143749261)"
37,"(1129.713216219268, 305.43180533793054)"
38,"(983.0502797899602, 350.4460465167265)"
39,"(1004.0762073025375, 350.1775008482695)"
40,"(1256.3902909274893, 346.98202235738864)"
41,"(1277.4168091348715, 346.71801481612806)"
42,"(1277.6739828642844, 368.2890869548542)"
43,"(1298.7001318873613, 368.02547749493317)"
44,"(1235.8795230789374, 390.3884926411393)"
45,"(983.8359038153533, 415.1577502237643)"
46,"(1046.9106590425777, 414.35346669490224)"
47,"(1278.1881826493045, 411.4313904647973)"
48,"(942.0487538777439, 437.26615254822525)"
49,"(984.0976554290842, 436.7283446648775)"
50,"(1278.4452087050163, 433.00254221976877)"
51,"(942.3111700230778, 458.83666737306487)"
52,"(1110.5052994918462, 456.6940343965388)"
53,"(1110.764909837067, 478.26486768644435)"
54,"(1236.9103592649947, 476.6727811959594)"
55,"(1237.167902178608, 498.24393295093085)"
56,"(901.052101197248, 524.0870547424029)"
57,"(1132.3075475874798, 521.1404567020523)"
58,"(1174.3546032178172, 520.6092569688719)"
59,"(1132.5667887485, 542.7113696082315)"
60,"(1174.6131060104362, 542.1802494913247)"
61,"(1174.871534966152, 563.7512420137491)"
62,"(1112.0625923790747, 586.1191933684911)"
63,"(1154.107506740902, 585.587515937726)"
64,"(1112.321981213796, 607.6901062746703)"
65,"(1091.559577399259, 629.5272559775714)"
66,"(1133.6030888609773, 628.995100849165)"
67,"(1091.819261581383, 651.0981688837788)"
68,"(1155.1421086059727, 671.8714860274802)"
69,"(1071.317797175168, 694.5063907253497)"
70,"(1197.4423507761053, 692.9125526770163)"
71,"(1071.5776290309927, 716.0772240152552)"
72,"(1113.6182608557997, 715.5446708055376)"
73,"(1029.79764126721, 738.1819639914439)"
74,"(1071.8374608868178, 737.6480573051608)"
75,"(1155.9176169838297, 736.5844635948099)"
76,"(1009.0385601106883, 760.0201487058164)"
77,"(1135.1562468849916, 758.4208171350322)"
78,"(1009.2992780085107, 781.5909023794484)"
79,"(1051.3376947280092, 781.056438379307)"
80,"(1072.3569030877584, 780.789723884972)"
81,"(1093.376185284411, 780.5234074719764)"
82,"(1051.5976742575353, 802.6272716692126)"
83,"(1072.6165872698823, 802.3606367911511)"
84,"(988.802169976219, 825.0)"
85,"(1062.9791069788293, 4.243148947850841)"
86,"(1084.010646091633, 3.975399442044477)"
87,"(1105.0421852043316, 3.707888785058799)"
88,"(1126.0737981540385, 3.440776209384353)"
89,"(1147.10541110364, 3.1739820987756957)"
90,"(1168.1370978900402, 2.9075860695348865)"
91,"(1189.168784676545, 2.6415085053316716)"
92,"(1231.232379760054, 2.1104680046701105)"
93,"(1252.2642142201553, 1.8454254519665483)"
94,"(1273.2961225171596, 1.5807013643288883)"
95,"(1294.3280308141639, 1.3163753579740387)"
96,"(1315.360012948071, 1.0524474329870372)"
97,"(1336.3920689186716, 0.7887583568206082)"
98,"(1357.424124889377, 0.5255469782390492)"
99,"(1042.2092456429584, 26.08189097608158)"
100,"(1063.2696549618831, 25.783966905116586)"
101,"(1084.2715855000597, 25.545993883129427)"
102,"(1105.3027554285577, 25.278642458690797)"
103,"(1126.333999193959, 25.01152988301635)"
104,"(1147.3653167962634, 24.744815388681218)"
105,"(1168.3966343984628, 24.478419359440522)"
106,"(1189.4280258375652, 24.21242141151083)"
107,"(1210.4594172766676, 23.946741928647043)"
108,"(1231.490882552568, 23.68138091084927)"
109,"(1252.522421665372, 23.416417974390924)"
110,"(1273.5539607781755, 23.15177350299848)"
111,"(1294.5855737277773, 22.887447496700247)"
112,"(1315.6172605142822, 22.623519571713246)"
113,"(1336.648947300682, 22.35991011179226)"
114,"(1357.680634087187, 22.096698733210587)"
115,"(1378.7123947104901, 21.833805819694817)"
116,"(1063.5016503272857, 47.38441744632257)"
117,"(1105.563325652784, 46.84931651604927)"
118,"(1126.5942002339846, 46.58228355664835)"
119,"(1147.6251486519834, 46.31556906234164)"
120,"(1168.6561709068853, 46.04925264934593)"
121,"(1189.687193161787, 45.783254701416354)"
122,"(1231.7494591819852, 45.25229381702832)"
