,"X,Y",Fixed,density
0,"(72.83520564, 19.00585603)",0,0.276666667
1,"(72.85799314, 19.00612146)",0,0.026888889
2,"(72.8608416, 19.00615444)",0,0.004888889
3,"(72.86087625, 19.00344504)",0,0.024444444
4,"(72.81248938, 19.00017666)",0,0.094888889
5,"(72.81818594, 19.00023647)",0,0.433333333
6,"(72.85806252, 19.00070266)",0,0.28177777800000003
7,"(72.86091089, 19.00073563)",0,0.098
8,"(72.8125248, 18.99745985)",0,0.364888889
9,"(72.81822127, 18.99752714)",0,0.245555556
10,"(72.84670396, 18.99786096)",0,0.569333333
11,"(72.81256021, 18.99475053)",0,0.433333333
12,"(72.81825659, 18.99481781)",0,0.281111111
13,"(72.85528361, 18.99525085)",0,0.253777778
14,"(72.85813188, 18.99528386)",0,0.004888889
15,"(72.81259562, 18.9920412)",0,0.339111111
16,"(72.82683637, 18.99220905)",0,0.18
17,"(72.85531832, 18.99254145)",0,0.246888889
18,"(72.81836251, 18.98668981)",0,0.048888889000000005
19,"(72.84969149, 18.98705654)",0,0.073333333
20,"(72.85823587, 18.98715564)",0,0.036666667
21,"(72.8155498, 18.98394688)",1,0.023333333
22,"(72.85827053, 18.98444624)",0,0.036666667
23,"(72.83267299, 18.98143844)",0,0.164444444
24,"(72.85260909, 18.98167083)",0,0.195555556
25,"(72.85545713, 18.98170385)",0,0.171111111
26,"(72.85830517, 18.98173683)",0,0.189777778
27,"(72.80992466, 18.97846466)",0,0.101111111
28,"(72.81277256, 18.97849459)",0,0.037333333
29,"(72.81561651, 18.97853196)",0,0.046666667
30,"(72.82416423, 18.97862884)",0,0.062222222
31,"(72.82701216, 18.978662300000003)",0,0.265555556
32,"(72.83555600000001, 18.978762399999997)",0,0.009333333
33,"(72.80426438, 18.97568412)",0,0.07777777799999999
34,"(72.84983061, 18.97621898)",0,0.315555556
35,"(72.83277814, 18.97331035)",0,0.100444444
36,"(72.84705626, 18.97077084)",0,0.171111111
37,"(72.82430494, 18.96779145)",0,0.408888889
38,"(72.80444183, 18.96213755)",0,0.295555556
39,"(72.80728945, 18.96217128)",0,0.178888889
40,"(72.84146129, 18.96257264)",0,0.036666667
41,"(72.84430899, 18.962605800000002)",0,0.048888889000000005
42,"(72.84434382, 18.95989642)",1,0.08866666699999999
43,"(72.84719147, 18.95992953)",0,0.048888889000000005
44,"(72.83868344, 18.95712068)",0,0.225555556
45,"(72.80454823, 18.954009600000003)",0,0.116666667
46,"(72.81309068, 18.95411062)",1,0.042
47,"(72.84441346, 18.95447764)",0,0.007333333
48,"(72.79888884, 18.95123273)",0,0.149333333
49,"(72.80458368, 18.95130028)",0,0.161777778
50,"(72.84444827, 18.95176825)",0,0.009777778
51,"(72.79892438, 18.94852342)",0,0.15555555599999998
52,"(72.82170354, 18.94879254)",0,0.108222222
53,"(72.8217387, 18.94608319)",0,0.009333333
54,"(72.83882305, 18.94628316)",0,0.014666667
55,"(72.83885793, 18.94357377)",0,0.186666667
56,"(72.79333651, 18.94032781)",0,0.046666667
57,"(72.8246563, 18.94069791)",0,0.098
58,"(72.83035089, 18.94076463)",0,0.014
59,"(72.82469141, 18.93798855)",0,0.108888889
60,"(72.83038590000001, 18.93805526)",0,0.019555556
61,"(72.83042090000001, 18.93534589)",0,0.161777778
62,"(72.82191445, 18.93253642)",0,0.014
63,"(72.82760875, 18.9326032)",0,0.116666667
64,"(72.82194958, 18.92982706)",0,0.07311111099999999
65,"(72.81913765, 18.92708426)",0,0.031111111
66,"(72.82483176, 18.927151100000003)",0,0.060444444000000014
67,"(72.81917282, 18.924374899999997)",0,0.045111111
68,"(72.82774887, 18.92176572)",0,0.105777778
69,"(72.81639623, 18.91892272)",0,0.015555556000000003
70,"(72.83347775, 18.91912291)",0,0.037333333
71,"(72.81643142, 18.91621337)",0,0.062222222
72,"(72.82212514, 18.91628026)",0,0.2
73,"(72.810773, 18.91343696)",0,0.39
74,"(72.81646661, 18.91350402)",0,0.378444444
75,"(72.82785390000001, 18.91363761)",0,0.093333333
76,"(72.80796152, 18.91069403)",0,0.313333333
77,"(72.82504211, 18.91089491)",0,0.07
78,"(72.80799683, 18.90798469)",0,0.146222222
79,"(72.81369025, 18.90805182)",0,0.137333333
80,"(72.81653696, 18.90808532)",0,0.069777778
81,"(72.81938368, 18.90811877)",0,0.032666667
82,"(72.81372546, 18.90534247)",0,0.007333333
83,"(72.81657213, 18.90537596)",0,0.033111111
84,"(72.80522083, 18.9025324)",0,0.096444444
85,"(72.81526689, 19.00562149)",0,0.474444444
86,"(72.81811527, 19.00565512)",0,0.217777778
87,"(72.82096365, 19.00568872)",0,0.373333333
88,"(72.82381204, 19.00572227)",0,0.27
