Index,FireTruck,Rescue_veh,Water truc,Ambulance,compact,X,Y,"X,Y",vehicles_list,potential
0,2,1,2,0,0.2767,72.8352,19.0058,"(72.8352, 19.0058)","[2, 1, 2, 0]",1
1,1,0,0,0,0.0269,72.858,19.0062,"(72.858, 19.0062)","[1, 0, 0, 0]",1
2,1,0,0,0,0.0049,72.8608,19.0061,"(72.8608, 19.0061)","[1, 0, 0, 0]",1
3,1,0,0,0,0.0049,72.8637,19.0062,"(72.8637, 19.0062)","[1, 0, 0, 0]",0
4,1,0,0,0,0.0244,72.8609,19.0035,"(72.8609, 19.0035)","[1, 0, 0, 0]",1
5,1,0,0,0,0.0949,72.8125,19.0002,"(72.8125, 19.0002)","[1, 0, 0, 0]",1
6,1,0,0,0,0.4333,72.8182,19.0003,"(72.8182, 19.0003)","[1, 0, 0, 0]",1
7,1,0,0,0,0.2818,72.8581,19.0007,"(72.8581, 19.0007)","[1, 0, 0, 0]",1
8,1,0,0,0,0.098,72.8609,19.0007,"(72.8609, 19.0007)","[1, 0, 0, 0]",1
9,1,0,0,0,0.3649,72.8125,18.9974,"(72.8125, 18.9974)","[1, 0, 0, 0]",1
10,1,0,0,0,0.2456,72.8182,18.9975,"(72.8182, 18.9975)","[1, 0, 0, 0]",1
11,1,0,0,0,0.5693,72.8467,18.9978,"(72.8467, 18.9978)","[1, 0, 0, 0]",1
12,1,0,0,0,0.4333,72.8126,18.9948,"(72.8126, 18.9948)","[1, 0, 0, 0]",1
13,1,0,0,0,0.2811,72.8183,18.9948,"(72.8183, 18.9948)","[1, 0, 0, 0]",1
14,1,0,0,0,0.2538,72.8553,18.9953,"(72.8553, 18.9953)","[1, 0, 0, 0]",1
15,1,0,0,0,0.0049,72.8581,18.9953,"(72.8581, 18.9953)","[1, 0, 0, 0]",1
16,1,0,0,0,0.3391,72.8126,18.992,"(72.8126, 18.992)","[1, 0, 0, 0]",1
17,1,0,0,0,0.18,72.8268,18.9922,"(72.8268, 18.9922)","[1, 0, 0, 0]",1
18,1,0,0,0,0.2469,72.8553,18.9925,"(72.8553, 18.9925)","[1, 0, 0, 0]",1
19,1,0,0,0,0.0122,72.8582,18.9898,"(72.8582, 18.9898)","[1, 0, 0, 0]",0
20,1,0,0,0,0.056,72.8127,18.9867,"(72.8127, 18.9867)","[1, 0, 0, 0]",0
21,1,0,0,0,0.0489,72.8184,18.9867,"(72.8184, 18.9867)","[1, 0, 0, 0]",1
22,1,0,0,0,0.0733,72.8497,18.987,"(72.8497, 18.987)","[1, 0, 0, 0]",1
23,1,0,0,0,0.0367,72.8582,18.9871,"(72.8582, 18.9871)","[1, 0, 0, 0]",1
24,1,0,0,0,0.0233,72.8156,18.984,"(72.8156, 18.984)","[1, 0, 0, 0]",1
25,1,0,0,0,0.0049,72.8184,18.984,"(72.8184, 18.984)","[1, 0, 0, 0]",0
26,1,0,0,0,0.0367,72.8583,18.9845,"(72.8583, 18.9845)","[1, 0, 0, 0]",1
27,1,0,0,0,0.0233,72.8127,18.9812,"(72.8127, 18.9812)","[1, 0, 0, 0]",0
28,4,2,3,1,0.1644,72.8327,18.9815,"(72.8327, 18.9815)","[4, 2, 3, 1]",1
29,2,1,1,0,0.1956,72.8526,18.9816,"(72.8526, 18.9816)","[2, 1, 1, 0]",1
30,1,0,0,0,0.1711,72.8555,18.9817,"(72.8555, 18.9817)","[1, 0, 0, 0]",1
31,1,0,0,0,0.1898,72.8583,18.9818,"(72.8583, 18.9818)","[1, 0, 0, 0]",1
32,1,0,0,0,0.028,72.8612,18.9818,"(72.8612, 18.9818)","[1, 0, 0, 0]",0
33,1,1,1,0,0.1911,72.8071,18.9785,"(72.8071, 18.9785)","[1, 1, 1, 0]",0
34,1,0,1,0,0.1011,72.8099,18.9784,"(72.8099, 18.9784)","[1, 0, 1, 0]",1
35,1,0,0,0,0.0373,72.8128,18.9785,"(72.8128, 18.9785)","[1, 0, 0, 0]",1
36,1,0,0,0,0.0467,72.8156,18.9785,"(72.8156, 18.9785)","[1, 0, 0, 0]",1
37,1,0,0,0,0.0944,72.8213,18.9786,"(72.8213, 18.9786)","[1, 0, 0, 0]",0
38,1,0,0,0,0.0622,72.8242,18.9787,"(72.8242, 18.9787)","[1, 0, 0, 0]",1
39,1,0,0,0,0.2656,72.827,18.9786,"(72.827, 18.9786)","[1, 0, 0, 0]",1
40,1,0,0,0,0.0093,72.8356,18.9788,"(72.8356, 18.9788)","[1, 0, 0, 0]",1
41,1,0,0,0,0.0233,72.8555,18.979,"(72.8555, 18.979)","[1, 0, 0, 0]",0
42,1,0,0,0,0.0778,72.8043,18.9757,"(72.8043, 18.9757)","[1, 0, 0, 0]",1
43,1,0,0,0,0.042,72.8156,18.9758,"(72.8156, 18.9758)","[1, 0, 0, 0]",0
44,1,0,0,0,0.31,72.8214,18.9759,"(72.8214, 18.9759)","[1, 0, 0, 0]",0
45,1,0,0,0,0.3156,72.8498,18.9762,"(72.8498, 18.9762)","[1, 0, 0, 0]",1
46,1,0,0,0,0.1004,72.8328,18.9733,"(72.8328, 18.9733)","[1, 0, 0, 0]",1
47,1,0,0,0,0.1711,72.847,18.9708,"(72.847, 18.9708)","[1, 0, 0, 0]",1
48,1,0,0,0,0.4089,72.8243,18.9678,"(72.8243, 18.9678)","[1, 0, 0, 0]",1
49,1,1,1,0,0.1182,72.8016,18.9648,"(72.8016, 18.9648)","[1, 1, 1, 0]",0
50,1,0,0,0,0.0233,72.85,18.9654,"(72.85, 18.9654)","[1, 0, 0, 0]",0
51,2,2,2,1,0.2956,72.8044,18.9621,"(72.8044, 18.9621)","[2, 2, 2, 1]",1
52,1,0,0,0,0.1789,72.8073,18.9622,"(72.8073, 18.9622)","[1, 0, 0, 0]",1
53,1,0,0,0,0.0367,72.8415,18.9626,"(72.8415, 18.9626)","[1, 0, 0, 0]",1
54,1,0,0,0,0.0489,72.8443,18.9626,"(72.8443, 18.9626)","[1, 0, 0, 0]",1
55,1,0,0,0,0.0467,72.8045,18.9595,"(72.8045, 18.9595)","[1, 0, 0, 0]",0
56,1,0,0,0,0.0887,72.8444,18.9599,"(72.8444, 18.9599)","[1, 0, 0, 0]",1
57,1,0,0,0,0.0489,72.8472,18.96,"(72.8472, 18.96)","[1, 0, 0, 0]",1
58,1,0,0,0,0.1273,72.796,18.9566,"(72.796, 18.9566)","[1, 0, 0, 0]",0
59,1,0,0,0,0.028,72.8045,18.9567,"(72.8045, 18.9567)","[1, 0, 0, 0]",0
60,1,0,0,0,0.2256,72.8387,18.9571,"(72.8387, 18.9571)","[1, 0, 0, 0]",1
61,1,0,0,0,0.0156,72.7932,18.9539,"(72.7932, 18.9539)","[1, 0, 0, 0]",0
62,1,0,0,0,0.1167,72.8046,18.954,"(72.8046, 18.954)","[1, 0, 0, 0]",1
63,1,0,0,0,0.042,72.8131,18.9541,"(72.8131, 18.9541)","[1, 0, 0, 0]",1
64,1,0,0,0,0.0073,72.8444,18.9544,"(72.8444, 18.9544)","[1, 0, 0, 0]",1
65,1,0,0,0,0.1493,72.7989,18.9513,"(72.7989, 18.9513)","[1, 0, 0, 0]",1
66,1,0,0,0,0.1618,72.8046,18.9513,"(72.8046, 18.9513)","[1, 0, 0, 0]",1
67,1,0,0,0,0.0098,72.8444,18.9518,"(72.8444, 18.9518)","[1, 0, 0, 0]",1
68,1,0,0,0,0.1556,72.7989,18.9485,"(72.7989, 18.9485)","[1, 0, 0, 0]",1
69,1,0,0,0,0.0078,72.8189,18.9488,"(72.8189, 18.9488)","[1, 0, 0, 0]",0
70,1,0,0,0,0.1082,72.8217,18.9488,"(72.8217, 18.9488)","[1, 0, 0, 0]",1
71,1,0,0,0,0.0093,72.8217,18.9461,"(72.8217, 18.9461)","[1, 0, 0, 0]",1
72,1,0,0,0,0.0147,72.8388,18.9463,"(72.8388, 18.9463)","[1, 0, 0, 0]",1
73,1,0,0,0,0.022,72.8445,18.9463,"(72.8445, 18.9463)","[1, 0, 0, 0]",0
74,1,0,0,0,0.0564,72.7933,18.943,"(72.7933, 18.943)","[1, 0, 0, 0]",0
75,1,0,0,0,0.0327,72.7962,18.943,"(72.7962, 18.943)","[1, 0, 0, 0]",0
76,1,0,0,0,0.0049,72.8218,18.9434,"(72.8218, 18.9434)","[1, 0, 0, 0]",0
77,1,0,0,0,0.1867,72.8389,18.9436,"(72.8389, 18.9436)","[1, 0, 0, 0]",1
78,1,0,0,0,0.0073,72.8417,18.9436,"(72.8417, 18.9436)","[1, 0, 0, 0]",1
79,1,0,0,0,0.0073,72.8446,18.9437,"(72.8446, 18.9437)","[1, 0, 0, 0]",0
80,1,0,0,0,0.0467,72.7933,18.9403,"(72.7933, 18.9403)","[1, 0, 0, 0]",1
81,1,0,0,0,0.098,72.8247,18.9407,"(72.8247, 18.9407)","[1, 0, 0, 0]",1
82,1,0,0,0,0.014,72.8304,18.9408,"(72.8304, 18.9408)","[1, 0, 0, 0]",1
83,1,0,0,0,0.0049,72.8417,18.9409,"(72.8417, 18.9409)","[1, 0, 0, 0]",0
84,1,0,0,0,0.0049,72.8446,18.941,"(72.8446, 18.941)","[1, 0, 0, 0]",0
85,1,0,0,0,0.1089,72.8247,18.938,"(72.8247, 18.938)","[1, 0, 0, 0]",1
86,1,0,0,0,0.0196,72.8304,18.9381,"(72.8304, 18.9381)","[1, 0, 0, 0]",1
87,1,0,0,0,0.0147,72.8418,18.9382,"(72.8418, 18.9382)","[1, 0, 0, 0]",0
88,1,0,0,0,0.0093,72.8446,18.9382,"(72.8446, 18.9382)","[1, 0, 0, 0]",0
89,1,0,0,0,0.1618,72.8304,18.9353,"(72.8304, 18.9353)","[1, 0, 0, 0]",1
90,1,0,0,0,0.014,72.8219,18.9325,"(72.8219, 18.9325)","[1, 0, 0, 0]",1
91,1,0,0,0,0.1167,72.8276,18.9326,"(72.8276, 18.9326)","[1, 0, 0, 0]",1
92,1,0,0,0,0.0731,72.822,18.9298,"(72.822, 18.9298)","[1, 0, 0, 0]",1
93,1,0,0,0,0.0311,72.8191,18.9271,"(72.8191, 18.9271)","[1, 0, 0, 0]",1
94,1,0,0,0,0.0604,72.8248,18.9271,"(72.8248, 18.9271)","[1, 0, 0, 0]",1
95,1,0,0,0,0.0451,72.8192,18.9244,"(72.8192, 18.9244)","[1, 0, 0, 0]",1
96,1,0,0,0,0.1058,72.8278,18.9218,"(72.8278, 18.9218)","[1, 0, 0, 0]",1
97,1,0,0,0,0.0156,72.8164,18.919,"(72.8164, 18.919)","[1, 0, 0, 0]",1
98,1,0,0,0,0.0373,72.8335,18.9192,"(72.8335, 18.9192)","[1, 0, 0, 0]",1
99,1,0,0,0,0.0622,72.8164,18.9162,"(72.8164, 18.9162)","[1, 0, 0, 0]",1
100,1,1,1,0,0.2,72.8221,18.9163,"(72.8221, 18.9163)","[1, 1, 1, 0]",1
101,2,1,2,0,0.39,72.8108,18.9135,"(72.8108, 18.9135)","[2, 1, 2, 0]",1
102,2,2,2,1,0.3784,72.8165,18.9135,"(72.8165, 18.9135)","[2, 2, 2, 1]",1
