Index,"X,Y",vehicles_list,potential
0,"(72.8352, 19.00585)","[2, 1, 2, 0]",1
1,"(72.858, 19.00615)","[1, 0, 0, 0]",1
2,"(72.86082515, 19.00614211)","[1, 0, 0, 0]",1
3,"(72.86368333, 19.00618333)","[1, 0, 0, 0]",0
4,"(72.86087485, 19.00345789)","[1, 0, 0, 0]",1
5,"(72.81247485, 19.00015789)","[1, 0, 0, 0]",1
6,"(72.81817485, 19.00025789)","[5, 0, 0, 0]",1
7,"(72.85807455, 19.00070788)","[1, 0, 0, 0]",1
8,"(72.86092515, 19.0007421)","[1, 0, 0, 0]",1
9,"(72.81252515, 18.9974421)","[1, 0, 0, 0]",1
10,"(72.81822515, 18.99754211)","[1, 0, 0, 0]",1
11,"(72.8467, 18.99785)","[1, 0, 0, 0]",1
12,"(72.81257485, 18.99475789)","[1, 0, 0, 0]",1
13,"(72.81826607, 18.99483274)","[1, 0, 0, 0]",1
14,"(72.85527485, 18.99525789)","[5, 0, 0, 0]",1
15,"(72.85813393, 18.99526726)","[1, 0, 0, 0]",1
16,"(72.8126, 18.99205)","[1, 0, 0, 0]",1
17,"(72.82682545, 18.99219212)","[1, 0, 0, 0]",1
18,"(72.85532515, 18.9925421)","[1, 0, 0, 0]",1
19,"(72.8582, 18.98985)","[1, 0, 0, 0]",0
20,"(72.81267485, 18.9866579)","[1, 0, 0, 0]",0
21,"(72.81837455, 18.98670788)","[1, 0, 0, 0]",1
22,"(72.8497, 18.98705)","[1, 0, 0, 0]",1
23,"(72.85822515, 18.98714211)","[1, 0, 0, 0]",1
24,"(72.81555, 18.98395)","[1, 0, 0, 0]",1
25,"(72.81840848, 18.98397515)","[1, 0, 0, 0]",0
26,"(72.85827485, 18.9844579)","[1, 0, 0, 0]",1
27,"(72.81272545, 18.98119212)","[1, 0, 0, 0]",0
28,"(72.83267485, 18.98145789)","[4, 2, 3, 1]",1
29,"(72.85262515, 18.981642100000002)","[2, 1, 1, 0]",1
30,"(72.85547455, 18.98170788)","[1, 0, 0, 0]",1
31,"(72.8583, 18.98175)","[1, 0, 0, 0]",1
32,"(72.86115, 18.98175)","[1, 0, 0, 0]",0
33,"(72.80707485, 18.9784579)","[1, 1, 1, 0]",0
34,"(72.80992515, 18.97844211)","[1, 0, 1, 0]",1
35,"(72.81277455, 18.97850788)","[1, 0, 0, 0]",1
36,"(72.81562515, 18.97854211)","[1, 0, 0, 0]",1
37,"(72.82132545, 18.97859212)","[1, 0, 0, 0]",0
38,"(72.82417485, 18.97865789)","[1, 0, 0, 0]",1
39,"(72.82702515, 18.97864211)","[1, 0, 0, 0]",1
40,"(72.83555, 18.97875)","[1, 0, 0, 0]",1
41,"(72.8555, 18.979)","[1, 0, 0, 0]",0
42,"(72.80428333, 18.97568333)","[1, 0, 0, 0]",1
43,"(72.81564121, 18.97582485)","[1, 0, 0, 0]",0
